Name,Latitude,Longitude
Hydrant U1,31.0198047,-87.4858814
Hydrant U2,31.0133109,-87.4884341
Hydrant U3,31.0170156,-87.515929
Hydrant U4,31.0274654,-87.5198494
Hydrant U5,31.0254816,-87.5230213
Hydrant U6,31.023546,-87.5230105
Hydrant U7,31.0235954,-87.5214971
Hydrant U8,31.023256,-87.5353763
Hydrant U9,31.0245755,-87.5354939
Hydrant U10,31.0250295,-87.5341566
Hydrant U11,31.023781,-87.5321376
Hydrant U12,31.0229579,-87.5217483
Hydrant U13,31.0231914,-87.5139422
Hydrant U14,31.0250796,-87.524491
Hydrant U15,31.0274387,-87.5231832
Hydrant U16,31.0268106,-87.5146079
Hydrant U17,31.0298938,-87.5148473
Hydrant U18,31.0305062,-87.5137808
Hydrant U19,31.0310854,-87.5124701
Hydrant U20,31.0313894,-87.5101021
Hydrant U21,31.0313786,-87.5091914
Hydrant U22,31.0316075,-87.5084473
Hydrant U23,31.0319778,-87.5057443
Hydrant U24,31.0316303,-87.50524
Hydrant U25,31.0339859,-87.5053663
Hydrant U26,31.0349498,-87.505339
Hydrant U27,31.0341858,-87.5041183
Hydrant U28,31.0341914,-87.5028771
Hydrant U29,31.0342752,-87.5005271
Hydrant U30,31.0336611,-87.5000321
Hydrant U31,31.0330544,-87.4995321
Hydrant 7,31.03123,-87.4980728
Hydrant 7,31.0328475,-87.5039839
Hydrant U32,31.0316527,-87.5039319
Hydrant U33,31.0316273,-87.5029235
Hydrant U34,31.0328579,-87.5029402
Hydrant U35,31.0303694,-87.4985189
Hydrant U36,31.0202546,-87.5412646
Hydrant U37,31.0194594,-87.517766
Hydrant U38,31.0195776,-87.5198764
Hydrant U39,31.019639,-87.5242813
Hydrant U40,31.0195383,-87.5263033
Hydrant U41,31.0195382,-87.5304376
Hydrant U42,31.0139494,-87.5304072
Hydrant U43,31.0139332,-87.5253038
Hydrant U44,31.0155743,-87.5261779
Hydrant U45,31.0304049,-87.5049423
Hydrant U46,31.0256165,-87.4977305
Hydrant U47,31.0276835,-87.4977569
Hydrant U48,31.0293403,-87.4977838
Hydrant U49,31.0299352,-87.4957671
Hydrant U50,31.0324791,-87.4949136
Hydrant U51,31.0158067,-87.5134911
Hydrant U52,31.0097556,-87.5134775
Hydrant U53,31.0072412,-87.5134408
Hydrant U54,31.0048536,-87.5134005
Hydrant U55,31.0016925,-87.5219928
Hydrant U56,31.0000942,-87.5206456
Hydrant U57,31.0013864,-87.5265209
Hydrant U58,31.0005372,-87.5325711
Hydrant U59,31.002885,-87.5133715
Hydrant U60,31.0012043,-87.513349
Hydrant U61,30.9997186,-87.5133234
Hydrant U62,31.0121825,-87.5131828
Hydrant U63,31.0160346,-87.5115915
Hydrant U64,31.014318,-87.5113925
Hydrant U65,31.016262,-87.5094845
Hydrant U66,31.0121906,-87.5107424
Hydrant 5,31.0121855,-87.5087346
Hydrant 4,31.0122928,-87.5052902
Hydrant U67,31.0148854,-87.5052773
Hydrant 4,31.0173422,-87.5051235
Hydrant U68,31.0195606,-87.5051307
Hydrant U69,31.0214244,-87.5041953
Hydrant U70,31.0254965,-87.495972
Hydrant U71,31.0267441,-87.4959939
Hydrant U72,31.0283863,-87.4960131
Hydrant U73,31.0298045,-87.4947897
Hydrant U74,31.0277163,-87.4947809
Hydrant U75,31.0256694,-87.4949253
Hydrant U76,31.0247804,-87.4949319
Hydrant U77,31.0243304,-87.4947729
Hydrant U78,31.0254978,-87.4939514
Hydrant 7,31.0065218,-87.4976183
Hydrant U79,31.0036049,-87.5008745
Hydrant 162,31.0078058,-87.5030442
Hydrant 161,31.0050802,-87.5028008
Hydrant 160,31.005078,-87.507221
Hydrant U80,30.9984361,-87.4882829
Hydrant U81,31.0001809,-87.4896676
Hydrant U82,31.001347,-87.4907675
Hydrant U83,31.001757,-87.4907609
Hydrant 114,31.0037439,-87.4929971
Hydrant U84,31.0103602,-87.4936565
Hydrant U85,31.0101091,-87.4955832
Hydrant U86,31.0121656,-87.4956025
Hydrant U87,31.0134206,-87.4938586
Hydrant U88,31.0158898,-87.4960306
Hydrant 125,31.0173568,-87.495759
Hydrant 119,31.0196866,-87.4948929
Hydrant 118,31.0214484,-87.4949118
Hydrant U89,31.0236193,-87.4949157
Hydrant U90,31.0213354,-87.4959782
Hydrant U91,31.0186712,-87.4979026
Hydrant 127,31.0214375,-87.4977738
Hydrant U92,31.0172306,-87.4990001
Hydrant 130,31.0214355,-87.4989054
Hydrant U93,31.0179709,-87.5001151
Hydrant U94,31.0168247,-87.5001126
Hydrant U95,31.0180666,-87.50123
Hydrant 135,31.0222848,-87.5013037
Hydrant U96,31.0219218,-87.4996498
Hydrant U97,31.0219206,-87.5003544
Hydrant U98,31.0197659,-87.5023843
Hydrant U99,31.0222763,-87.5024138
Hydrant 139,31.0208567,-87.5033797
Hydrant U100,31.0198313,-87.4939081
Hydrant U101,31.0173599,-87.4938955
Hydrant U102,31.0172087,-87.5037861
Hydrant U103,31.0161953,-87.4737063
Hydrant U104,31.0233576,-87.5089578
Hydrant 169,31.0232865,-87.5111606
Hydrant 137,31.0235486,-87.5030185
Hydrant U105,31.023783,-87.496813
Hydrant U106,31.0339894,-87.4991904
Hydrant 378,31.0356419,-87.5016072
Hydrant 379,31.0371374,-87.502789
Hydrant 90,31.0124815,-87.4691444
Hydrant U107,31.0125982,-87.4712642
Hydrant U108,31.0051143,-87.4851596
Hydrant U109,31.0041201,-87.4837549
Hydrant 76,30.9982761,-87.4797555
Hydrant 78,31.0010361,-87.4816303
Hydrant U110,31.0040221,-87.4797728
Hydrant 40,31.0081268,-87.4859786
Hydrant U111,31.0087253,-87.4866853
Hydrant U112,31.0052116,-87.4879031
Hydrant 21,31.0068623,-87.4877804
Hydrant 20,31.0076527,-87.4898724
Hydrant U113,31.0086344,-87.4912412
Hydrant U114,31.008579,-87.4923589
Hydrant 74,31.0065398,-87.4797513
Hydrant U115,31.0078555,-87.477516
Hydrant U116,31.0063639,-87.4707917
Hydrant U117,31.0096553,-87.4718737
Hydrant U118,31.0106097,-87.4732966
Hydrant U119,31.010136,-87.4747146
Hydrant 93,31.0089461,-87.4776222
Hydrant U120,31.00895,-87.4797722
Hydrant U121,31.0088986,-87.4820694
Hydrant U122,31.00895,-87.4838764
Hydrant U123,31.0100587,-87.4866804
Hydrant U124,31.010168,-87.4880723
Hydrant U125,31.0100014,-87.4882327
Hydrant U126,31.0087263,-87.4866798
Hydrant U127,31.0109869,-87.4923627
Hydrant 7,31.0140944,-87.4923699
Hydrant 6,31.016382,-87.4923947
Hydrant U128,31.0186001,-87.4926191
Hydrant 4,31.0196989,-87.4927792
Hydrant U129,31.0214778,-87.4926805
Hydrant U130,31.0227546,-87.4926915
Hydrant 7,31.0214836,-87.4916045
Hydrant 7,31.0240537,-87.4858802
Hydrant 419,31.0095017,-87.4889642
Hydrant U131,31.0243376,-87.4924066
Hydrant U132,31.0107394,-87.4896712
Hydrant U133,31.0242799,-87.4939615
Hydrant U134,31.0124742,-87.4905497
Hydrant U135,31.0154304,-87.4903981
Hydrant U136,31.0256851,-87.4907056
Hydrant U137,31.0172523,-87.490603
Hydrant U138,31.0196996,-87.490383
Hydrant U139,31.0214726,-87.4905715
Hydrant 29,31.0215046,-87.4894806
Hydrant U140,31.0226331,-87.4894583
Hydrant U141,31.0227444,-87.4884477
Hydrant 42,31.0226245,-87.4871219
Hydrant 43,31.0240533,-87.4858783
Hydrant U142,31.0227654,-87.4858859
Hydrant U143,31.0214157,-87.4858802
Hydrant U144,31.0198124,-87.4847169
Hydrant 49,31.0172652,-87.4847183
Hydrant 50,31.0161022,-87.4847217
Hydrant U145,31.0144532,-87.483916
Hydrant 33,31.0154138,-87.4884408
Hydrant U146,31.0172489,-87.4884528
Hydrant U147,31.0143029,-87.486504
Hydrant U148,31.0160412,-87.4865438
Hydrant U149,31.0174159,-87.4865724
Hydrant U150,31.0183866,-87.4865475
Hydrant 56,31.0226368,-87.4833671
Hydrant 61,31.0226533,-87.4821594
Hydrant U151,31.0184588,-87.4821762
Hydrant U152,31.0174222,-87.482177
Hydrant 4,31.0161204,-87.4821846
Hydrant U153,31.0151149,-87.4827793
Hydrant U154,31.0130118,-87.4827376
Hydrant U155,31.0123559,-87.4842612
Hydrant 4,31.0226631,-87.4810755
Hydrant U156,31.021447,-87.4743934
Hydrant U157,31.0196657,-87.4742842
Hydrant U158,31.01863,-87.4746042
Hydrant U159,31.023779,-87.4797914
Hydrant U160,31.0214035,-87.4797862
Hydrant U161,31.0196955,-87.4798058
Hydrant U162,31.0184857,-87.4795979
Hydrant 70,31.0174644,-87.479817
Hydrant 71,31.0160124,-87.4797969
Hydrant 72,31.012048,-87.4798151
Hydrant U163,31.0161776,-87.4761392
Hydrant U164,31.0196832,-87.4872857
Hydrant U165,31.024359,-87.4924158
Hydrant 230,31.025462,-87.4798016
Hydrant U166,31.0254755,-87.482198
Hydrant 296,31.025649,-87.4839108
Hydrant U167,31.02565,-87.4882222
Hydrant 294,31.0269044,-87.4926198
Hydrant U168,31.0269172,-87.4906253
Hydrant U169,31.0238534,-87.4926909
Hydrant 291,31.0267209,-87.4840289
Hydrant U170,31.0269107,-87.4871114
Hydrant U171,31.0281659,-87.4895158
Hydrant 277,31.0300278,-87.4861928
Hydrant U172,31.0316546,-87.4833462
Hydrant U173,31.0325766,-87.4822416
Hydrant U174,31.0340792,-87.4808497
Hydrant U175,31.0243013,-87.4782968
Hydrant U176,31.0243597,-87.4750697
Hydrant U177,31.0282682,-87.4813049
Hydrant U178,31.0285666,-87.4784191
Hydrant U179,31.0300481,-87.4813067
Hydrant U180,31.0300251,-87.4795924
Hydrant U181,31.0317387,-87.4797713
Hydrant U182,31.0323249,-87.4788604
Hydrant U183,31.0311352,-87.4771541
Hydrant 4,31.0323522,-87.4763317
Hydrant U184,31.0332044,-87.4762942
Hydrant U185,31.0340822,-87.4762473
Hydrant U186,31.0340704,-87.4770301
Hydrant U187,31.0340681,-87.4781471
Hydrant U188,31.0340746,-87.4792393
Hydrant 4,31.0068001,-87.510466
Hydrant U189,31.0703258,-87.3641452
Hydrant U190,31.0705458,-87.3661142
Hydrant U191,31.0238054,-87.5145742
Hydrant 51,31.0101736,-87.4852263
Hydrant 286,31.0288598,-87.4859904
Hydrant U192,31.0295943,-87.4840076
Hydrant U193,31.0288485,-87.4840245
Hydrant U194,31.0277745,-87.4840282
Hydrant U195,31.0313106,-87.4861151
Hydrant U196,31.0308602,-87.4888663
Hydrant U197,31.0296994,-87.4896599
Hydrant U198,31.0308564,-87.4903511
Hydrant U199,31.0322873,-87.4904506
Hydrant U200,31.0323203,-87.4934972
Hydrant U201,31.0340804,-87.4883912
Hydrant U202,31.0346378,-87.4885225
Hydrant U203,31.0347088,-87.4868397
Hydrant U204,31.0346942,-87.4854059
Hydrant U205,31.0349292,-87.4839793
Hydrant U206,31.0361729,-87.4851907
Hydrant U207,31.0341839,-87.4932191
Hydrant U208,31.0340935,-87.4900276
Hydrant 272,31.0340664,-87.4862588
Hydrant 273,31.0340663,-87.4839694
Hydrant U209,31.0352334,-87.4811836
Hydrant U210,31.0362451,-87.4811331
Hydrant U211,31.0381928,-87.4809994
Hydrant U212,31.0372328,-87.4811244
Hydrant U213,31.0351985,-87.4798529
Hydrant U214,31.0069873,-87.4887836
Hydrant U215,31.0327605,-87.4796229
Hydrant U216,31.0350155,-87.4795679
Hydrant U217,31.0357404,-87.4782515
Hydrant U218,31.037192,-87.4784637
Hydrant U219,31.0352569,-87.4760997
Hydrant 241,31.0363119,-87.4760958
Hydrant U220,31.1042274,-87.4777868
Hydrant U221,31.1131745,-87.4730891
Hydrant U222,31.0220232,-87.5072725
Hydrant U223,31.0212328,-87.5073365
Hydrant U224,31.0416584,-87.4939985
Hydrant U225,31.040464,-87.4939593
Hydrant U226,31.0353247,-87.4915286
Hydrant U227,31.0365815,-87.491531
Hydrant U228,31.0391063,-87.4915384
Hydrant U229,31.0404685,-87.4915536
Hydrant U230,31.041635,-87.4915487
Hydrant U231,31.0364765,-87.4892899
Hydrant U232,31.0375619,-87.4900562
Hydrant U233,31.0402153,-87.4900778
Hydrant U234,31.0354656,-87.48862
Hydrant U235,31.0354835,-87.4868324
Hydrant U236,31.0381802,-87.4844683
Hydrant U237,31.0365021,-87.4797888
Hydrant U238,31.0382118,-87.4796872
Hydrant U239,31.0396227,-87.4796959
Hydrant 222,31.039566,-87.4785104
Hydrant U240,31.0413163,-87.4797268
Hydrant U241,31.043686,-87.4797781
Hydrant U242,31.0443036,-87.4840969
Hydrant U243,31.0450634,-87.479803
Hydrant U244,31.0465057,-87.4798381
Hydrant U245,31.0485645,-87.4798916
Hydrant U246,31.0486874,-87.4825208
Hydrant U247,31.0466149,-87.484109
Hydrant U248,31.0487868,-87.4847708
Hydrant U249,31.0487985,-87.4902566
Hydrant U250,31.048814,-87.4927339
Hydrant U251,31.0512359,-87.4799317
Hydrant U252,31.0535069,-87.4799367
Hydrant U253,31.0558805,-87.4799721
Hydrant U254,31.0559455,-87.4747181
Hydrant U255,31.0560351,-87.4716696
Hydrant U256,31.0561586,-87.4716318
Hydrant U257,31.0560317,-87.4673432
Hydrant 209,31.0488061,-87.4715958
Hydrant U258,31.048784,-87.4744085
Hydrant U259,31.0487746,-87.4771392
Hydrant U260,31.0560169,-87.4778689
Hydrant U261,31.0633895,-87.4672153
Hydrant U262,31.061366,-87.4571368
Hydrant U263,31.0616039,-87.4375376
Hydrant U264,31.0644948,-87.4325731
Hydrant U265,31.0706551,-87.4258569
Hydrant U266,31.0707916,-87.4136142
Hydrant U267,31.0708159,-87.3835762
Hydrant U268,31.0836023,-87.4036799
Hydrant U269,31.0731955,-87.417441
Hydrant U270,31.059814,-87.4288844
Hydrant U271,31.0535749,-87.4290293
Hydrant U272,31.048668,-87.4331862
Hydrant U273,31.04761,-87.3949069
Hydrant U274,31.0452034,-87.3929437
Hydrant U275,31.0390072,-87.4673138
Hydrant U276,31.0078294,-87.4674265
Hydrant 391,31.0487939,-87.4952854
Hydrant U277,31.048606,-87.5048108
Hydrant U278,31.0488506,-87.5081445
Hydrant U279,31.0485954,-87.5077305
Hydrant 387,31.0463213,-87.506511
Hydrant U280,31.0436218,-87.5060554
Hydrant U281,31.0418757,-87.5055328
Hydrant U282,31.0414591,-87.5073965
Hydrant U283,31.0414616,-87.5100188
Hydrant U284,31.0414455,-87.5134394
Hydrant U285,31.0391409,-87.5043077
Hydrant U286,31.0393303,-87.5044356
Hydrant U287,31.0011243,-87.5473488
Hydrant U288,31.0012191,-87.5512162
Hydrant U289,31.0012366,-87.5576905
Hydrant U290,31.001216,-87.5644213
Hydrant U291,31.0093968,-87.567646
Hydrant U292,31.009464,-87.5614016
Hydrant U293,31.0098095,-87.5593196
Hydrant U294,31.0074931,-87.559514
Hydrant U295,31.0055586,-87.5583867
Hydrant U296,31.0075002,-87.5582882
Hydrant U297,31.0091396,-87.5643448
Hydrant U298,31.0052883,-87.5644192
Hydrant U299,31.0120644,-87.5596492
Hydrant U300,31.0151629,-87.554845
Hydrant U301,31.0067621,-87.5753568
Hydrant U302,31.0035096,-87.5873855
Hydrant U303,30.9987844,-87.6048929
Hydrant U304,30.997485,-87.6095663
Hydrant U305,31.0038516,-87.5975349
Hydrant U306,31.0047648,-87.6042806
Hydrant U307,31.0072894,-87.6048462
Hydrant U308,31.0115306,-87.6044394
Hydrant U309,31.0079501,-87.6026504
Hydrant U310,31.0115464,-87.602748
Hydrant U311,31.0561207,-87.4930975
Hydrant U312,31.1378854,-87.4632369
Hydrant U313,31.1330313,-87.4634419
Hydrant U314,31.1241054,-87.4662241
Hydrant 115,31.0959717,-87.5580209
Hydrant 4,31.0312387,-87.4937704
Hydrant 4,31.0284689,-87.4939036
Hydrant U315,31.0267984,-87.4939109
Hydrant U316,31.0214649,-87.4939401
Hydrant U317,31.0299255,-87.4939026
Hydrant U318,31.0238126,-87.4938782
Hydrant U319,31.0211481,-87.4880623
Hydrant U320,31.0196215,-87.5223172
Hydrant U321,31.0212572,-87.5244384
Hydrant U322,31.0226587,-87.5244304
Hydrant U323,31.0229604,-87.5199787
Hydrant U324,31.0485758,-87.5020981
Hydrant U325,31.0486015,-87.4992707
Hydrant U326,31.0099903,-87.4771116
Hydrant U327,31.0313117,-87.4916615
Hydrant U328,31.0361621,-87.4826306
Hydrant U329,31.044246,-87.4933191
Hydrant U330,31.0043327,-87.4888102
Hydrant U331,31.0013853,-87.5954742
Hydrant U332,31.0240314,-87.5053073
Hydrant U333,31.0238525,-87.5098507
Hydrant U334,31.1150593,-87.4710327
Hydrant U335,31.1059483,-87.4710215
Hydrant U336,31.1084631,-87.4767817
Hydrant U337,31.1065556,-87.477087
Hydrant U338,31.106597,-87.4770133
Hydrant U339,31.1058879,-87.4784192
Hydrant U340,31.033633,-87.5006554
Hydrant U341,31.0192118,-87.5134665
Hydrant 258,31.0057294,-87.4902838
Hydrant U342,31.0252499,-87.5326781
Hydrant U343,31.0047516,-87.4950134
Hydrant U344,31.0331863,-87.4781542
Hydrant U345,31.0278206,-87.4876494
Hydrant U346,31.0138398,-87.5094666
Hydrant U347,31.0197452,-87.5056409
Hydrant U348,31.063371,-87.4914496
Hydrant U349,31.0303948,-87.5020244
Hydrant U350,31.0352759,-87.4826203
Hydrant U351,31.1053209,-87.4790304
Hydrant U352,31.1068525,-87.4781062
Hydrant U353,31.1061202,-87.4785765
Hydrant U354,31.1570609,-87.4639549
Hydrant U355,31.1601639,-87.4633867
Hydrant U356,31.1725575,-87.463545
Hydrant U357,31.1564181,-87.4640183
Hydrant U358,31.053331,-87.4716524
Hydrant U359,31.150515,-87.4633762
Hydrant U360,31.1547564,-87.463375
Hydrant U361,31.0195414,-87.5282836
Hydrant U362,31.0368722,-87.4745838
Hydrant U363,31.0236335,-87.4989846
